date1,avgDailyReturn,AAPL,GOOG,BLK,MSFT,TSLA
2016-11-02,-0.6859999999999999,0.17,-1.22,-0.66,-0.65,-1.07
2016-11-01,-1.258,-1.74,0.09,-0.7,-0.28,-3.66
2016-10-31,-0.8580000000000002,-0.1,-1.37,-0.07,-0.4,-2.35
2016-10-28,-0.9100000000000001,-0.13,-1.61,-0.6,-0.23,-1.98
2016-10-27,-1.242,-0.79,-0.71,-0.4,-0.84,-3.47
2016-10-26,0.10600000000000001,1.12,-0.9,-0.01,-0.3,0.62
2016-10-25,-0.21200000000000002,0.25,-1.1,-0.16,0.23,-0.28
2016-10-24,0.47400000000000003,0.47,1.02,-1.77,1.77,0.88
2016-10-21,0.024,-0.18,0.55,0.03,-1.03,0.75
2016-10-20,-0.7040000000000001,0.17,-0.79,-0.98,-0.43,-1.49
2016-10-19,0.22199999999999998,-0.11,0.34,-1.13,0.1,1.91
2016-10-18,0.49399999999999994,-0.6,0.94,0.31,0.23,1.59
2016-10-17,-0.366,0.19,0.02,-0.23,-0.24,-1.57
2016-10-14,-0.42399999999999993,-0.21,-0.4,0.03,0.53,-2.07
2016-10-13,0.054000000000000006,0.16,-0.39,0.24,0.39,-0.13
2016-10-12,0.036,-0.01,0.3,-0.39,0.0,0.28
2016-10-11,-1.048,-1.19,-0.46,-1.51,-1.21,-0.87
2016-10-10,0.32799999999999996,0.9,1.06,-0.34,0.22,-0.2
2016-10-07,-0.604,-0.22,-0.59,0.06,-0.09,-2.18
2016-10-06,-0.244,0.17,-0.27,-0.4,0.0,-0.72
2016-10-05,-0.33399999999999996,-0.31,-0.36,0.17,0.61,-1.78
2016-10-04,-0.41600000000000004,-0.05,0.05,-1.24,-0.05,-0.79
2016-10-03,-0.030000000000000006,-0.17,-0.22,-0.45,0.03,0.66
2016-09-30,0.458,0.52,0.12,0.7,0.05,0.9
2016-09-29,-1.1099999999999999,-0.87,-0.82,-0.77,-0.71,-2.38
2016-09-28,-0.041999999999999996,0.23,0.48,-0.58,0.26,-0.6
2016-09-27,0.358,0.08,0.97,0.78,1.79,-1.83
2016-09-26,0.05600000000000001,1.11,-1.09,-0.63,-0.32,1.21
2016-09-23,-0.6459999999999999,-1.49,0.04,-1.73,-0.76,0.71
2016-09-22,0.21000000000000005,0.24,0.92,0.05,-0.17,0.01
2016-09-21,0.16199999999999998,-0.26,0.46,0.74,0.43,-0.56
2016-09-20,-0.576,0.46,0.31,-1.64,-0.94,-1.07
2016-09-19,-0.6859999999999999,-1.4,-0.87,-0.25,-0.59,-0.32
2016-09-16,0.492,-0.17,-0.11,0.92,-0.66,2.48
2016-09-15,1.568,1.5,1.16,1.33,1.85,2.0
2016-09-14,0.598,2.8,0.38,-0.3,-0.23,0.34
2016-09-13,-0.39,0.41,-0.63,-1.27,0.05,-0.51
2016-09-12,2.074,2.72,1.84,2.25,1.87,1.69
2016-09-09,-1.6320000000000001,-1.44,-1.36,-2.02,-1.02,-2.32
2016-09-08,-0.676,-1.61,-0.42,0.1,-0.35,-1.1
2016-09-07,0.0020000000000000018,0.49,0.04,0.99,0.33,-1.84
2016-09-06,0.33999999999999997,-0.19,0.86,-0.59,-0.29,1.91
2016-09-02,-0.52,0.03,-0.2,-0.18,0.0,-2.25
2016-09-01,-0.588,0.56,-0.06,-0.52,1.02,-3.94
2016-08-31,0.186,0.42,0.01,0.08,-0.33,0.75
2016-08-30,-0.33999999999999997,0.19,-0.03,0.51,-0.16,-2.21
2016-08-29,-0.262,0.19,0.44,0.45,-0.14,-2.25
2016-08-26,-0.296,-0.44,0.07,0.29,-0.43,-0.97
2016-08-25,0.03200000000000003,0.17,0.31,0.14,0.5,-0.96
2016-08-24,-0.596,-0.49,-0.12,-0.68,0.26,-1.95
2016-08-23,-0.11600000000000002,0.24,-0.44,-0.59,-0.02,0.23
2016-08-22,-0.196,-0.32,-0.14,-0.09,0.12,-0.55
2016-08-19,0.42800000000000005,0.54,0.05,0.57,0.33,0.65
2016-08-18,0.03799999999999999,-0.14,-0.32,0.48,0.31,-0.14
2016-08-17,0.164,0.11,0.33,0.84,0.03,-0.49
2016-08-16,-0.46399999999999997,-0.23,-0.4,-0.56,-0.3,-0.83
2016-08-15,0.362,1.24,-0.17,0.74,0.19,-0.19
2016-08-12,0.192,0.37,0.22,0.44,-0.16,0.09
2016-08-11,-0.07000000000000003,-0.54,-0.02,0.3,0.47,-0.56
2016-08-10,-0.5459999999999999,-0.65,0.12,-0.83,-0.24,-1.13
2016-08-09,0.192,0.54,0.4,-1.03,0.05,1.0
2016-08-08,-0.162,0.79,-0.03,-0.76,0.0,-0.81
2016-08-05,0.7979999999999999,1.14,1.09,1.21,0.54,0.01
2016-08-04,0.6040000000000001,0.27,-0.08,-0.39,1.04,2.18
2016-08-03,0.36599999999999994,0.94,0.78,0.29,0.51,-0.69
2016-08-02,-0.46399999999999997,-1.48,0.31,0.27,-0.47,-0.95
2016-08-01,0.24000000000000005,1.57,1.55,0.45,-0.04,-2.33
2016-07-29,0.592,0.02,-0.51,0.93,0.75,1.77
2016-07-28,0.614,1.47,-0.15,0.2,0.38,1.17
2016-07-27,-0.31799999999999995,-1.26,0.47,0.31,-0.74,-0.37
2016-07-26,0.264,-0.15,-0.08,0.33,0.42,0.8
2016-07-25,0.49000000000000005,-0.93,-0.12,-0.44,0.46,3.48
2016-07-22,0.25199999999999995,-0.6,0.12,0.74,0.87,0.13
2016-07-21,-0.664,-0.4,-0.23,0.06,-0.32,-2.43
2016-07-20,0.238,-0.04,0.52,0.31,-0.43,0.83
2016-07-19,0.11400000000000003,0.31,0.97,0.32,-1.15,0.12
2016-07-18,1.244,1.14,1.53,0.06,0.48,3.01
2016-07-15,-0.42000000000000004,-0.14,-0.81,0.26,-0.46,-0.95
2016-07-14,0.12799999999999997,1.44,-0.09,0.19,-0.19,-0.71
2016-07-13,-0.5800000000000001,-0.55,-0.92,-0.02,-0.09,-1.32
2016-07-12,0.666,0.26,0.21,2.1,0.51,0.25
2016-07-11,0.6859999999999999,0.24,0.99,-0.16,0.17,2.19
2016-07-08,0.554,0.2,0.88,1.06,1.1,-0.47
2016-07-07,0.22800000000000004,0.25,-0.39,0.03,-0.08,1.33
2016-07-06,1.298,0.98,1.13,1.09,1.18,2.11
2016-07-05,0.2579999999999999,-0.42,-0.23,-0.76,0.67,2.03
2016-07-01,1.2600000000000002,0.42,1.01,-0.22,0.06,5.03
2016-06-30,0.8240000000000001,1.23,0.97,1.35,0.89,-0.32
2016-06-29,1.3400000000000003,0.46,0.16,2.35,1.26,2.47
2016-06-28,0.36,0.74,0.16,-0.11,1.06,-0.05
2016-06-27,-0.17999999999999988,-1.03,-0.41,-2.13,-1.36,4.03
2016-06-24,0.16799999999999998,0.53,0.01,-1.37,0.04,1.63
2016-06-23,0.708,0.17,0.63,1.15,1.23,0.36
2016-06-22,-0.558,-0.73,-0.23,-0.24,-0.18,-1.41
2016-06-21,0.368,1.02,-0.35,-0.32,1.97,-0.48
2016-06-20,-0.602,-0.94,-0.72,-0.31,-1.13,0.09
2016-06-17,-0.9800000000000001,-1.34,-2.39,0.46,-0.56,-1.07
2016-06-16,0.652,1.14,-0.64,0.77,1.76,0.23
2016-06-15,-0.27,-0.7,-0.01,-0.81,-0.18,0.35
2016-06-14,-0.5,0.14,0.25,-0.96,-0.14,-1.79
2016-06-13,-0.23400000000000004,-1.37,0.26,-0.45,1.13,-0.74
2016-06-10,-0.788,0.3,-0.01,-1.29,0.84,-3.78
2016-06-09,-0.158,1.17,0.79,0.37,-0.73,-2.39
2016-06-08,0.36,-0.08,0.6,0.5,0.04,0.74
2016-06-07,0.49000000000000005,-0.22,-0.44,-1.16,-0.27,4.54
2016-06-06,0.378,0.65,-1.15,0.89,0.27,1.23
2016-06-03,-0.43199999999999994,0.13,-0.95,0.25,-1.13,-0.46
2016-06-02,-0.13999999999999999,0.12,-0.29,0.06,-0.3,-0.29
2016-06-01,0.026000000000000002,-0.57,-0.05,0.84,0.78,-0.87
2016-05-31,0.32799999999999996,0.26,0.54,-0.67,1.42,0.09
2016-05-27,0.49799999999999994,0.92,1.19,0.48,0.77,-0.87
2016-05-26,0.53,0.73,0.17,-0.27,-0.08,2.1
2016-05-25,0.586,0.96,0.63,0.18,0.39,0.77
2016-05-24,1.1640000000000001,0.7,1.87,0.89,1.76,0.6
2016-05-23,-0.5119999999999999,0.58,-0.32,-0.03,-1.13,-1.66
2016-05-20,0.736,0.61,1.16,0.11,0.28,1.52
2016-05-19,-0.052000000000000005,-0.46,-0.29,0.05,-0.3,0.74
2016-05-18,0.8640000000000001,0.42,0.42,1.86,0.65,0.97
2016-05-17,-1.496,-1.12,-1.36,-0.56,-2.34,-2.1
2016-05-16,1.1920000000000002,1.61,1.04,1.21,2.03,0.07
2016-05-13,-0.488,0.58,-0.15,-2.09,-0.7,-0.08
2016-05-12,-0.944,-2.57,-0.52,-0.27,0.61,-1.97
2016-05-11,-0.5880000000000001,-1.04,-1.12,-1.28,-0.16,0.66
2016-05-10,0.7060000000000001,0.1,0.9,0.61,1.37,0.55
2016-05-09,-0.868,-0.23,0.13,-0.26,-0.83,-3.15
2016-05-06,1.108,-0.7,1.82,1.55,0.94,1.93
2016-05-05,-1.53,-0.81,0.53,-0.1,0.14,-7.41
2016-05-04,-0.746,-1.06,0.75,-0.12,0.06,-3.36
2016-05-03,-0.5860000000000001,1.04,-0.65,-0.09,-1.11,-2.12
2016-05-02,0.368,-0.34,0.08,0.76,1.22,0.12
2016-04-29,-0.388,-0.27,0.33,-0.08,1.05,-2.97
2016-04-28,-1.752,-2.85,-2.43,-1.2,-1.42,-0.86
2016-04-27,0.10599999999999996,1.9,-0.21,0.4,-1.05,-0.51
2016-04-26,-0.45,0.42,-2.38,0.61,-1.57,0.67
2016-04-25,0.22600000000000003,0.08,0.98,-0.1,0.64,-0.47
2016-04-22,0.27599999999999997,0.64,-1.04,0.08,-0.25,1.95
2016-04-21,-0.158,-0.9,0.5,-0.07,-0.04,-0.28
2016-04-20,0.06000000000000001,0.46,-0.7,0.27,-1.24,1.51
2016-04-19,-0.95,-0.9,-2.02,0.86,-0.42,-2.27
2016-04-18,0.6679999999999999,-1.29,0.81,1.42,1.75,0.65
2016-04-15,0.29799999999999993,-2.02,0.67,0.94,0.63,1.27
2016-04-14,0.718,0.43,-0.11,3.47,0.25,-0.45
2016-04-13,1.168,1.12,0.34,1.54,0.42,2.42
2016-04-12,0.624,1.01,0.69,1.58,0.51,-0.67
2016-04-11,-0.44400000000000006,0.05,-0.93,-0.58,-0.33,-0.43
2016-04-08,-1.136,-0.23,-0.65,-0.34,-0.46,-4.0
2016-04-07,-1.594,-1.28,-0.68,-1.79,-0.75,-3.47
2016-04-06,1.752,0.66,1.35,0.84,1.4,4.51
2016-04-05,0.998,0.27,-0.03,-0.33,-1.14,6.22
2016-04-04,-0.378,0.63,-0.64,-1.02,0.0,-0.86
2016-04-01,0.43800000000000006,1.11,1.53,1.56,0.94,-2.95
2016-03-31,-0.09399999999999999,-0.67,-0.57,0.07,0.51,0.19
2016-03-30,-0.6060000000000001,0.84,0.06,-0.66,0.22,-3.49
2016-03-29,1.44,2.66,1.39,1.09,1.96,0.1
2016-03-28,-0.55,-0.76,-0.44,0.27,-1.24,-0.58
2016-03-24,1.246,0.19,0.45,-0.65,0.69,5.55
2016-03-23,-1.178,-0.33,-0.58,-0.51,-0.26,-4.21
2016-03-22,0.472,1.4,0.45,0.9,0.86,-1.25
2016-03-21,0.586,-0.02,0.76,-0.23,1.15,1.27
2016-03-18,-0.49000000000000005,-0.39,-0.57,-0.48,-2.6,1.59
2016-03-17,1.1620000000000001,0.27,0.18,2.31,0.83,2.22
2016-03-16,1.2799999999999998,1.3,1.34,0.28,1.68,1.8
2016-03-15,0.916,0.6,0.19,0.3,1.59,1.9
2016-03-14,0.6539999999999999,0.6,0.51,0.11,0.87,1.18
2016-03-11,0.7619999999999999,0.02,0.95,2.92,0.13,-0.21
2016-03-10,-0.9979999999999999,-0.24,0.66,-1.45,-1.66,-2.3
2016-03-09,1.204,-0.19,0.97,1.36,1.83,2.05
2016-03-08,0.27199999999999996,0.25,0.78,-0.9,1.67,-0.44
2016-03-07,0.518,-0.51,-1.66,1.94,-1.03,3.85
2016-03-04,0.20800000000000002,0.63,-0.57,0.15,-0.71,1.54
2016-03-03,0.546,0.91,-0.87,-0.1,-1.17,3.96
2016-03-02,1.166,0.24,-0.02,2.07,1.03,2.51
2016-03-01,1.3039999999999998,2.95,2.16,2.32,3.16,-4.07
2016-02-29,-0.38,-0.18,-0.36,-0.2,-0.92,-0.24
2016-02-26,-0.65,-0.3,-0.5,-0.85,-2.47,0.87
2016-02-25,1.698,0.74,0.82,1.3,0.72,4.91
2016-02-24,1.9780000000000002,2.26,1.54,1.15,1.32,3.62
2016-02-23,-1.1640000000000001,-1.77,-0.8,-1.63,-2.22,0.6
2016-02-22,0.9780000000000001,0.59,-0.14,-0.75,0.71,4.48
2016-02-19,0.554,0.04,0.85,0.39,-0.29,1.78
2016-02-18,-1.8099999999999998,-2.61,-1.78,-1.11,-0.27,-3.28
2016-02-17,2.214,1.5,1.34,0.33,1.81,6.09
2016-02-16,0.06799999999999998,1.7,-0.29,0.78,0.37,-2.22
2016-02-12,-0.23799999999999993,-0.21,-1.14,2.21,0.5,-2.55
2016-02-11,0.76,-0.1,1.2,1.64,2.07,-1.01
2016-02-10,-1.452,-1.72,-0.4,-0.24,-0.36,-4.54
2016-02-09,1.7840000000000003,0.74,0.86,2.62,0.53,4.17
2016-02-08,-0.89,2.02,2.23,-2.62,-0.28,-5.8
2016-02-05,-3.07,-2.59,-2.88,-1.37,-3.43,-5.08
2016-02-04,1.006,0.77,-2.05,3.79,-0.19,2.71
2016-02-03,-2.196,1.42,-5.62,0.78,-2.05,-5.51
2016-02-02,-2.44,-0.99,-2.53,-1.51,-2.16,-5.01
2016-02-01,0.86,-0.04,0.21,0.11,-0.31,4.33
2016-01-29,1.832,2.69,1.56,3.59,0.66,0.66
2016-01-28,0.04200000000000004,0.32,1.21,-1.14,0.39,-0.57
2016-01-27,-1.4740000000000002,-2.73,-1.92,1.04,-1.52,-2.24
2016-01-26,0.28200000000000003,0.06,-0.11,2.33,0.73,-1.6
2016-01-25,-1.8560000000000003,-2.05,-1.65,-3.45,-0.29,-1.84
2016-01-22,1.0539999999999998,2.83,0.23,1.6,1.71,-1.1
2016-01-21,-0.5880000000000001,-0.78,0.63,-0.99,-1.02,-0.78
2016-01-20,1.126,1.78,1.43,1.15,1.62,-0.35
2016-01-19,-1.564,-1.78,-0.21,-2.13,-1.79,-1.91
2016-01-15,0.578,0.97,0.31,-0.8,-0.62,3.03
2016-01-14,1.7100000000000002,1.59,1.32,1.55,2.13,1.96
2016-01-13,-3.9899999999999998,-2.92,-4.14,-3.36,-4.01,-5.52
2016-01-12,-0.068,-0.59,0.61,0.37,0.04,-0.77
2016-01-11,-0.808,-0.44,-0.08,-0.24,-0.4,-2.88
2016-01-08,-2.048,-1.61,-2.32,-3.08,-0.08,-3.15
2016-01-07,-0.93,-2.26,-0.54,-1.52,-1.01,0.68
2016-01-06,0.39,0.14,1.87,0.88,-0.5,-0.44
2016-01-05,-0.9059999999999999,-2.87,-0.52,-0.07,0.22,-1.29
2016-01-04,0.04799999999999995,2.67,-0.16,0.02,0.88,-3.17
2015-12-31,-0.6439999999999999,-1.64,-1.38,0.17,-1.0,0.63
2015-12-30,-0.324,-1.16,-0.72,-0.09,-0.28,0.63
2015-12-29,1.234,1.66,1.29,-0.34,0.46,3.1
2015-12-28,0.434,-0.72,1.27,1.64,1.08,-1.1
2015-12-24,-0.45,-0.89,-0.15,-0.87,-0.34,0.0
2015-12-23,0.34600000000000003,1.25,-0.42,1.75,0.22,-1.07
2015-12-22,-0.09800000000000005,-0.16,-0.22,1.38,0.65,-2.14
2015-12-21,0.10800000000000001,0.05,0.22,-0.02,-0.09,0.38
2015-12-18,-1.504,-2.64,-0.96,-1.69,-1.19,-1.04
2015-12-17,-1.322,-2.71,-1.7,-0.79,-1.17,-0.24
2015-12-16,1.5879999999999999,0.24,1.08,-0.03,1.06,5.59
2015-12-15,-0.4640000000000001,-1.3,-1.27,1.41,-0.83,-0.33
2015-12-14,0.42200000000000004,0.27,0.81,-0.95,1.49,0.49
2015-12-11,-2.426,-1.74,-0.31,-5.24,-1.19,-3.65
2015-12-10,0.156,0.11,-0.45,0.29,-0.22,1.05
2015-12-09,-0.45199999999999996,0.28,-1.0,-1.0,0.42,-0.96
2015-12-08,0.03199999999999999,0.6,0.59,-1.26,0.58,-0.35
2015-12-07,-0.03400000000000003,-0.03,-0.59,-1.1,0.04,1.51
2015-12-04,1.884,3.24,1.82,1.94,3.31,-0.89
2015-12-03,-1.452,-0.03,-1.76,-1.97,-2.32,-1.18
2015-12-02,-0.9100000000000001,-0.9,-0.85,-0.49,-0.2,-2.11
2015-12-01,1.0579999999999998,-1.19,2.67,-0.33,1.49,2.65
2015-11-30,-0.061999999999999986,0.26,-0.83,1.27,-0.35,-0.66
2015-11-27,-0.008000000000000007,-0.41,0.24,-0.35,0.24,0.24
2015-11-25,0.55,-0.99,0.0,0.73,-0.74,3.75
2015-11-24,0.35,1.32,-0.49,-1.03,0.61,1.34
2015-11-23,-0.256,-1.27,-0.19,0.11,-0.11,0.18
2015-11-20,0.02799999999999998,0.08,1.35,0.38,-0.11,-1.56
2015-11-19,0.20199999999999996,0.97,-0.04,-0.4,-0.09,0.57
2015-11-18,1.874,1.32,1.71,1.68,1.6,3.06
2015-11-17,-0.454,-1.07,-0.55,0.29,-0.38,-0.56
2015-11-16,2.4579999999999997,2.51,1.87,2.64,1.28,3.99
2015-11-13,-1.574,-2.48,-1.67,-0.59,-0.43,-2.7
2015-11-12,-0.642,-0.46,0.03,-0.23,-0.3,-2.25
2015-11-11,0.040000000000000015,-0.22,0.4,-0.49,-0.09,0.6
2015-11-10,-0.5720000000000001,-0.11,0.54,0.87,-1.04,-3.12
2015-11-09,-1.3439999999999999,-0.32,-0.73,-1.67,-0.71,-3.29
